city_id,city_name,climate_group,outer_fold,model_name,source_reference_run_dir,training_sample_rows_per_city,prediction_scope,row_count,valid_cell_count,scale_label,smoothing_radius_m,smoothing_method,smoothing_sigma_m,threshold_fraction,spearman_surface_corr,top_region_overlap_fraction,observed_mass_captured,centroid_distance_m,median_nearest_region_distance_m,observed_top_cell_count,predicted_top_cell_count,overlap_cell_count,grid_cell_size_m,projected_crs,grid_reconstruction_status
28,Minneapolis,mild_cool,1,random_forest,C:\Users\golde\OneDrive - University of Virginia\STAT5630_FinalProject_DataProcessing\outputs\modeling\random_forest\frontier_allfolds_s5000_frontier-check_2026-04-11_173430,5000,full_city,2946162,2946162,medium,300.0,gaussian,150.0,0.1,0.019233116660493606,0.05526950622612483,0.10688692536909773,26891.344971332648,1251.7587627015039,294617,294617,30861,30.0,EPSG:32615,ok
28,Minneapolis,mild_cool,1,random_forest,C:\Users\golde\OneDrive - University of Virginia\STAT5630_FinalProject_DataProcessing\outputs\modeling\random_forest\frontier_allfolds_s5000_frontier-check_2026-04-11_173430,5000,full_city,2946162,2946162,broad,600.0,gaussian,300.0,0.1,-0.006480271414471057,0.04529528952405619,0.09113332218867727,28261.47636998885,2365.438648538575,294617,294617,25533,30.0,EPSG:32615,ok
1,Phoenix,hot_arid,2,random_forest,C:\Users\golde\OneDrive - University of Virginia\STAT5630_FinalProject_DataProcessing\outputs\modeling\random_forest\frontier_allfolds_s5000_frontier-check_2026-04-11_173430,5000,full_city,3199440,3199440,fine,150.0,gaussian,75.0,0.1,0.09666808405799077,0.09919572887714681,0.17320041197086192,10490.078006439819,1001.2991560967182,319944,319944,57746,30.0,EPSG:32612,ok
1,Phoenix,hot_arid,2,random_forest,C:\Users\golde\OneDrive - University of Virginia\STAT5630_FinalProject_DataProcessing\outputs\modeling\random_forest\frontier_allfolds_s5000_frontier-check_2026-04-11_173430,5000,full_city,3199440,3199440,medium,300.0,gaussian,150.0,0.1,0.08720975468914278,0.10034684188171608,0.16921772278803673,10972.056092455441,1518.1897114655994,319944,319944,58355,30.0,EPSG:32612,ok
1,Phoenix,hot_arid,2,random_forest,C:\Users\golde\OneDrive - University of Virginia\STAT5630_FinalProject_DataProcessing\outputs\modeling\random_forest\frontier_allfolds_s5000_frontier-check_2026-04-11_173430,5000,full_city,3199440,3199440,broad,600.0,gaussian,300.0,0.1,0.08051662753709751,0.09648719969841324,0.15472998641380423,11910.20420639657,1945.379140424817,319944,319944,56308,30.0,EPSG:32612,ok
10,Reno,hot_arid,2,random_forest,C:\Users\golde\OneDrive - University of Virginia\STAT5630_FinalProject_DataProcessing\outputs\modeling\random_forest\frontier_allfolds_s5000_frontier-check_2026-04-11_173430,5000,full_city,475828,475828,fine,150.0,gaussian,75.0,0.1,0.12007872169651802,0.0625474521012907,0.11906489367219826,2586.825213691536,1326.1221663180206,47583,47583,5602,30.0,EPSG:32611,ok
10,Reno,hot_arid,2,random_forest,C:\Users\golde\OneDrive - University of Virginia\STAT5630_FinalProject_DataProcessing\outputs\modeling\random_forest\frontier_allfolds_s5000_frontier-check_2026-04-11_173430,5000,full_city,475828,475828,medium,300.0,gaussian,150.0,0.1,0.145159173621377,0.0670269542987846,0.12580912693993715,2476.8688220840872,1781.9090885900998,47583,47583,5978,30.0,EPSG:32611,ok
10,Reno,hot_arid,2,random_forest,C:\Users\golde\OneDrive - University of Virginia\STAT5630_FinalProject_DataProcessing\outputs\modeling\random_forest\frontier_allfolds_s5000_frontier-check_2026-04-11_173430,5000,full_city,475828,475828,broad,600.0,gaussian,300.0,0.1,0.172717646914193,0.062191664620398684,0.13001527665700313,2313.630722519368,2177.016306783208,47583,47583,5572,30.0,EPSG:32611,ok
11,Houston,hot_humid,2,random_forest,C:\Users\golde\OneDrive - University of Virginia\STAT5630_FinalProject_DataProcessing\outputs\modeling\random_forest\frontier_allfolds_s5000_frontier-check_2026-04-11_173430,5000,full_city,5054661,5054661,fine,150.0,gaussian,75.0,0.1,0.09885441021282486,0.06150516769411535,0.11566187889959012,10301.401671025196,416.77331968349415,505467,505467,58575,30.0,EPSG:32615,ok
11,Houston,hot_humid,2,random_forest,C:\Users\golde\OneDrive - University of Virginia\STAT5630_FinalProject_DataProcessing\outputs\modeling\random_forest\frontier_allfolds_s5000_frontier-check_2026-04-11_173430,5000,full_city,5054661,5054661,medium,300.0,gaussian,150.0,0.1,0.08530127230809698,0.0561035487813796,0.1066025471095481,11447.092622253585,713.0918594402827,505467,505467,53704,30.0,EPSG:32615,ok
11,Houston,hot_humid,2,random_forest,C:\Users\golde\OneDrive - University of Virginia\STAT5630_FinalProject_DataProcessing\outputs\modeling\random_forest\frontier_allfolds_s5000_frontier-check_2026-04-11_173430,5000,full_city,5054661,5054661,broad,600.0,gaussian,300.0,0.1,0.04782912895191899,0.044663035424759204,0.09074070612108324,13268.223952245306,1434.0502083260544,505467,505467,43221,30.0,EPSG:32615,ok
