city_id,city_name,climate_group,model_name,repeat_count,sample_rows_per_city_cap,effective_city_row_count,within_city_pr_auc_mean,within_city_pr_auc_std,within_city_recall_at_top_10pct_mean,within_city_recall_at_top_10pct_std,within_city_best_inner_cv_average_precision_mean
13,Richmond,hot_humid,city_prevalence_baseline,3,20000,20000,0.10000000000000002,0.0,0.105,0.013228756555322957,
13,Richmond,hot_humid,logistic_saga,3,20000,20000,0.39298527293112157,0.02749616939278424,0.39749999999999996,0.010897247358851687,0.3698443536901986
13,Richmond,hot_humid,random_forest,3,20000,20000,0.46530033584755665,0.014215496902789955,0.445,0.013919410907075064,0.4227858018516892
15,Tampa,hot_humid,city_prevalence_baseline,3,20000,20000,0.10000000000000002,0.0,0.105,0.013228756555322957,
15,Tampa,hot_humid,logistic_saga,3,20000,20000,0.23589302204525273,0.010917663060734143,0.2758333333333333,0.009464847243000438,0.22510129881270513
15,Tampa,hot_humid,random_forest,3,20000,20000,0.28680041871908674,0.0013043454656616088,0.30916666666666665,0.014648663192705802,0.28094216957953977
30,Boston,mild_cool,city_prevalence_baseline,3,20000,20000,0.10000000000000002,0.0,0.105,0.013228756555322957,
30,Boston,mild_cool,logistic_saga,3,20000,20000,0.2274036350487534,0.01424546623066194,0.27,0.022912878474779182,0.2358366178103879
30,Boston,mild_cool,random_forest,3,20000,20000,0.2953660346109459,0.005716541220755685,0.3216666666666667,0.011814539065631539,0.3036125275851718
27,Chicago,mild_cool,city_prevalence_baseline,3,20000,20000,0.10000000000000002,0.0,0.105,0.013228756555322957,
27,Chicago,mild_cool,logistic_saga,3,20000,20000,0.37328611223551444,0.011332717701856695,0.42416666666666664,0.015275252316519482,0.38449812766101754
27,Chicago,mild_cool,random_forest,3,20000,20000,0.47511854474956494,0.015130718473735628,0.49,0.01249999999999997,0.4524289379732371
29,Detroit,mild_cool,city_prevalence_baseline,3,20000,20000,0.10000000000000002,0.0,0.105,0.013228756555322957,
29,Detroit,mild_cool,logistic_saga,3,20000,20000,0.1735377895207394,0.0077910792909894645,0.19999999999999998,0.020463381929681123,0.17495110192689367
29,Detroit,mild_cool,random_forest,3,20000,20000,0.28806220080263173,0.02726557502657771,0.3116666666666667,0.016266017746619277,0.2980157882595087
